,ObjectID,EIN,State,Name,Revenue
0,202023169349201962,113463183,NY,77th PRECINT COMMUNITY COUNCIL INC,3800
1,202013049349200436,202347170,MD,SOUTHERN MARYLAND FAST PITCH ORGANIZATION,25259
2,202120609349300112,475378165,CA,OAKLAND WINE FESTIVAL AND FOUNDATION,225
3,202100489349300620,582003159,AR,TOTAL LIFE COMMUNITY EDUC FOUNDATION,363307
4,202023189349306407,760536563,CT,BOZRAH INTERNATIONAL MINISTRIES INC,927063
5,202043219349317174,822282576,OH,ONECITY FOR RECOVERY INC,51184
6,202013219349211076,470873877,LA,Grace Place Ministries Inc,164849
7,202110539349200126,870420899,UT,UTAH ACADEMY OF GENERAL DENTISTRY,12617
8,202033229349300123,450255772,ND,UNITED WAY OF GRAND FORKS EAST GRAND,565469
9,202130849349300918,231944578,NJ,AMERICAN ASSCOCIATION OF TEACHERS OF,839233
10,202120609349201427,261482204,CA,EK KARDIA INC,11253
11,202141329349102049,260355480,FL,JAMES L POLLACK FOUNDATION,0
12,202003089349301995,850159171,NM,BOYS AND GIRLS CLUB OF,1031523
13,202130489349200513,820396186,ID,IDAHO ROADRUNNERS A TRAVEL CLUB INC,2901
14,202033219349303638,221913016,NJ,MENDHAM TOWNSHIP LIBRARY,391100
15,202013079349200991,431254069,MO,HERITAGE ACCOUNT INC,21607
16,202111189349301136,464027239,DE,TSF Incorporated,26966
17,202023159349200137,582527454,GA,WOMEN IN GOLF FOUNDATION INC,118512
18,202013139349200211,042747030,MA,ALLIANCE FOR RESPIRATORY CARE INC,0
19,202043309349300014,521189578,MD,Baltimore Operation Sail LTD,140061
20,202140719349200729,237407824,SC,LITCHFIELD COUNTRY CLUB PROPERTY OWNERS,62104
21,202013569349300851,430764111,MO,ST LOUIS CHRISTIAN COLLEGE,3715020
22,202003049349302015,041641480,MA,MT HOPE CEMETERY CORP OF NORTH ATTLEBOROUGH,609640
23,202003219349300905,271327185,CA,ALL OUT CARING INC,1134041
24,202032699349300318,351922885,IN,JENNINGS COUNTY COMMUNITY FOUNDATION INC,900925
25,202011549349100516,420925360,IA,THE FRANK AND MARGARET RACE,0
26,202132169349101203,311367070,OH,THE MCKEEVER FOUNDATION INC,0
27,202043239349200539,364402139,IL,NEW GENERATION FANCY DRILL TEAM AND PERFORMANCE AR,53703
28,202022739349200802,237153584,MO,PTA MISSOURI CONGRESS,48232
29,202121459349200727,753106632,IN,SAINT PHILIPS CONSERVATION CLUB,47131
30,202141379349300799,231396763,PA,MERCY SUBURBAN HOSPITAL,0
31,202013219349314671,593523680,FL,SYRIAN LEBANESE AMERICAN CLUB OF ORLANDO INC,57763
32,202003219349311695,311661234,DC,INSTITUTE FOR MEDICAID INNOVATION INC,100666
33,202111269349302031,161754294,NC,Cedar Creek Housing Inc,205518
34,202101379349301570,208322514,ID,HELPING HEARTS AND HANDS INC,161114
35,202110479349301811,066038773,CT,WASHINGTON COMMUNITY FUND INC,272669
36,202003079349201040,201040813,MA,OGC Interoperability Institute Inc,0
37,202001779349300530,460357012,SD,LAKOTA COMMUNICATIONS,387134
38,202121279349302787,132846619,NY,NEW YORK SOCIETY FOR,1137416
39,202003219349210000,311748722,TN,Parkers Crossroads Battlefield Associati,10434
40,202032869349200018,562160123,NC,Reidsville Outreach Center,98179
41,202141039349300029,951643375,CA,SAN DIEGO SOCIETY OF NATURAL HISTORY,10054284
42,202111119349200006,356076928,IN,AMERICAN LEGION POST 29,83260
43,202130899349301343,830222330,WY,SENIOR CITIZENS COUNCIL,3627030
44,202120479349201157,237312994,CA,ROTARY CLUB OF LAWNDALE INC,20440
45,202033309349300603,710434021,AR,FRANKLIN COUNTY LEARNING CENTER INC,1077172
46,202033039349201438,832353294,GA,Material Culture and Arts Foundation Inc,18339
47,202100969349300900,530172317,VA,AMERICAN ASSOCIATION OF MOTOR VEHICLE,43265152
48,202021359349200222,582638416,GA,COLQUITT COUNTY EXTENSION4H,50682
49,202023189349312867,203402547,IN,Conner Prairie Foundation Inc,8513474
50,202120359349301512,160909583,NY,CONSUMER CREDIT COUNSELING SERVICE,1868155
51,202111269349300316,113583988,NY,GATEWAY HOUSING CORPORATION,692116
52,202100849349300445,420958266,IA,JUNIOR LEAGUE OF SIOUX CITY INC,219203
53,202121459349301222,956117694,CA,SAN DIEGO CHAPTER JAPANESE,46053
54,202011969349303371,834148902,CA,THE ADAM LEVENTHAL MEMORIAL SCHOOL AND,520114
55,202013189349307146,134336539,NJ,THE LAMP FOUNDATION INC,578749
56,202101369349301695,271093680,NY,EMILY C AND JOHN E HANSEN INTELLECTUAL,263510
57,202042899349201529,731433817,OK,MAIN STREET ALTUS INC,114883
58,202110609349301111,133192504,NY,SPITI HOUSING DEVELOPMENT FUND,326141
59,202012739349300721,840410760,CO,The Colorado Mountain Club,2563429
60,202003219349314485,351948651,IN,DUBOIS WOOD PRODUCTS EMPLOYEE,1274791
61,202131229349200018,942618628,CA,DISTRICT 21 AMERICAN CONTRACT BRIDGE LEAGUE,146206
62,202130899349300308,546047138,VA,WEST POINT VOLUNTEER FIRE DEPARTMEN,929852
63,202042729349200104,263991156,IL,MONTICELLO ELEMENTARY PTO,44545
64,202023049349200027,237422148,OH,The Zoar Volunteer Fire Dept Inc,53561
65,202023459349300722,841161199,CO,WESTMINSTER ROTARY FOUNDATION,18336
66,202120329349300017,431161964,MO,CITADEL ASSOCIATION INCORPORATED,556974
67,202033019349300938,386090586,MI,Spring Hill Camps,13020479
68,202002909349200020,341871427,OH,SOUTH RANGE MUSIC BOOSTERS INC,30177
69,202120919349301132,753185497,VA,Landstuhl Hospital Care Project,2845
70,202101359349302260,843725349,NC,BGCC Support Inc,0
71,202032979349200728,454572442,CA,GOSPEL WINGS INTERNATIONAL,72000
72,202043079349200329,461407613,IL,CONTINUUM THEATER,13890
73,202023539349300902,832161467,OK,Oklahoma Energy Football Club,1482701
74,202110719349301326,471753440,IN,PARKVIEW WABASH HOSPITAL INC,55826822
75,202021369349303317,141970169,NY,SIMPLY SPORTS INC,945331
76,202111259349302676,316106189,OH,PIKE COUNTY AGRICULTURE SOCIETY,696062
77,202043259349301239,911196293,WA,LEADERSHIP TOMORROW,778066
78,202130089349301208,010344605,ME,WATERVILLE AREA BOYS & GIRLS CLUB,1620818
79,202100259349300600,593006312,FL,FLAGLER COUNTY EDUCATION DIRECT -,967289
80,202023189349202492,421319796,IA,MT PLEASANT ATHLETIC BOOSTER CLUB,42407
81,202043109349302479,721261590,LA,NEW ORLEANS CHILDRENS CHORUS,92493
82,202141349349305834,954611282,CA,Organizacion en California de Lideres Campesinas Inc,1459299
83,202110929349301461,521820647,MD,HABITAT FOR HUMANITY OF FREDERICK,948971
84,202101379349306270,382964312,MI,SQUARE ONE EDUCATION NETWORK,235081
85,202011339349100816,870660697,UT,BLAINE T & BARBARA H HUDSON PRIVATE,0
86,202111189349300931,510453629,NY,INNER CITY SCHOLARSHIP FUND INC,22415973
87,202043189349310184,824598959,TX,RUNNELS ACADEMY INC,551298
88,202032769349200048,810655544,NM,LITERACY LINK - LEAMOS,60104
89,202011359349303126,043100175,MA,NAZZARO RECREATIONAL CENTER INC,277985
90,202011979349303736,596002104,FL,CLARA WHITE MISSION INC,2306906
91,202120409349200712,371729690,FL,KEY WEST AREA CHIEF PETTY OFFICER,21995
92,202110399349300511,981404695,DC,International Federation of,42703
93,202131059349300338,686085367,NV,THE FRED L AND CAROLYN C BAYBARZ,325364
94,202013219349306686,454712121,CA,VIDIOTS FOUNDATION,394277
95,202001549349300000,274660639,CA,PINELLAS MYCROSCHOOL OF INTEGRATED,1146981
96,202003219349310530,480697177,KS,CROSS-LINES COMMUNITY OUTREACH INC,1309920
97,202141129349300719,640917644,MS,JUNIOR AUXILIARY OF TUPELO MISSISSIPPI,168524
98,202033179349305963,132946690,NY,USTA NATIONAL TENNIS CENTER INCORPORATED,110624552
99,202111349349301206,232021066,PA,THE GROWING PLACE CTR FOR CARE AND LEARN OF SALEM-ST PAUL,3107657
