,ObjectID,EIN,State,Name,Revenue
0,202043219349203404,841795449,MA,JOE'S JOURNEY FOR RECOVERY INC,11815
1,202131269349302673,953786740,CA,KOREAN SENIOR CITIZENS MUTUAL CLUB,98563
2,202013109349300211,043053539,MA,North Attleboro Firefighters Kids Day Assoc Inc,57289
3,202002839349100705,800727539,OH,TURNER FARM FOUNDATION INC,0
4,202023149349100107,825032161,OK,FRIEDMAN-TOWNSEND FOUNDATION,0
5,202121319349200112,710679719,AR,Road Runners Club of America,18063
6,202131059349101813,814768953,LA,DARYL AND MARY PENNINGTON,0
7,202101039349301130,362632473,IL,Society for Information Management Chicago Chapter,114135
8,202023569349200657,260795647,CA,MONTESSORI EDUCATIONAL FOUNDATION OF THE,5000
9,202100349349200310,650443162,FL,ST LUCIE PRESERVATION,2
10,202033109349300628,742955964,IL,FOUNDATION OF THE AMERICAN SOCIETY,21453
11,202003009349300815,260467053,IN,COMMUNITY CANCER NETWORK INC,136918
12,202111329349305121,611391086,KY,HENRY COUNTY CATTLEMENS ASSOCIATION,306532
13,202121329349202677,470948255,CA,NHAT QUANG BUDDIST CENTER,39471
14,202111309349101556,822756858,PA,DONALD W & JOAN K ZERBE SCHOLARSHIP FU,0
15,202031849349300908,381945965,MI,DAVENPORT UNIVERSITY,122549508
16,202003499349301600,954570253,NY,COUNCIL FOR AID TO EDUCATION INC,4240600
17,202023079349302757,223244263,NY,PINE PLAINS EDUCATION ASSOCIATION,315155
18,202100619349300225,710749266,AR,Reto Inc,29483
19,202141029349100224,810585528,CO,CURRIE FAMILY FOUNDATION,0
20,202043189349300619,263873991,NY,PEACE IS LOUD INC,1496965
21,202043219349202789,462831609,MN,MINNESOTA IRON RANGERS INC,29791
22,202121419349300607,480860878,KS,CLOUD COUNTY HISTORICAL SOCIETY,87683
23,202121349349307107,943360482,CA,California YMCA Youth & Gvt,3466326
24,202012759349301571,161044418,NY,HOWLETT HILL FIRE DEPARTMENT,485645
25,202013219349104911,593209519,FL,DALE GARDNER JACOBS CHARITABLE,0
26,202001719349200910,043671730,NJ,KIND HEART RESCUE INC,52156
27,202141379349301864,314271640,OH,OHIO NURSES ASSOCIATION,4301961
28,202041509349300124,270635380,ID,QUILT HERITAGE MUSEUM INC,19842
29,202111279349300426,470633817,NE,NEBRASKA INSURANCE INFORMATION SERVICE 134 S 13TH ST,61605
30,202033109349301698,412255586,NJ,New Jersey Children's Alliance Inc,805238
31,202121829349200122,852550304,UT,YOUCHOOSE CHARITY,930
32,202121189349300037,440261775,MO,GOETZ CREDIT UNION,3720551
33,202023089349100117,386489859,IL,GARRETT GERTRUDE BUTER CHARITABLE TRUST,0
34,202021979349307047,646025274,MS,ROTARY INTERNATIONAL,159265
35,202131339349103133,842743334,CA,DR ANITA HONG FOUNDATION,0
36,202111269349201326,911996275,NJ,Delaware Township Athletic Assoc,41876
37,202111259349101901,256643476,NV,SARAH E ALTER TRUST,0
38,202033219349202528,450559412,IL,NATIONAL ASSOCIATION OF HISPANIC,71749
39,202101769349300925,382006295,MI,VETERANS OF FOREIGN WARS POST 5855,73701
40,202043089349300814,113014237,NY,CHAVIE STERN FAMILY FOUNDATION INC,673996
41,202003219349107120,203985244,NY,ALEXANDER FOUNDATION INC,0
42,202110969349300301,320478583,TX,AGAPE CANAAN TOWERS INC,1353224
43,202042839349301969,920147951,AK,Arctic Access Inc,291391
44,202043169349305154,832728196,MN,UPPER MIDWEST LAW CENTER,353031
45,202023009349100107,431908659,MO,DO WELL FOUNDATION,0
46,202001889349301810,836003983,WY,WYOMING SCHOOL BOARDS ASSOCIATION,1709848
47,202011499349300726,222521727,RI,WOONSOCKET NORTH STARS,136
