ObjectID,EIN,State,Name,Revenue,RevenueEZ
202010659349301301,452772761,NJ,CAMDEN'S CHARTER SCHOOL,5148336,0
202010729349300041,237061115,MS,JACKSON STATE UNIVERSITY,10386900,0
202010729349300021,344427516,OH,TIFFIN UNIVERSITY,64789812,0
202010729349300836,840865247,CO,NETWORK MINISTRIES INC,218029,0
202000669349300135,205647589,SC,FAMILY PROMISE OF BEAUFORT COUNTY,482668,0
202000669349301125,311131742,CA,Pacific Local Masters Swimming Committee,143394,0
202000669349301320,271969337,OR,ST MARYS OUTREACH INC,105375,0
202000669349301850,474824100,TN,PROJECT HEART,155603,0
202000669349300905,930955648,WA,COLUMBIA GORGE INTERPRETIVE CENTER,377646,0
202000669349300700,270454243,CA,CHILDREN OF CONSERVATION INC,132109,0
202000669349300425,631260575,SC,BOYKIN RESCUE INC,309400,0
202000679349300505,208965928,MA,SAINT ANTHONY SHRINE FOUNDATION,18497,0
202000679349300405,830935537,WA,EVERETT LAW ASSOCIATION,1120793,0
202000679349300210,010890508,NY,Recycle for Education Inc,618434,0
202020669349300127,205091342,IA,ASSOCIATES SUPPORTED HOUSING,88462,0
202000729349300710,593833885,OK,Pushmataha Counseling Services Inc,322235,0
202020689349300402,320041992,NJ,NORTH BAPTIST CHURCH A NJ NONPROFIT CORPORATION,74999,0
202030699349301268,030349894,VT,EKWANOK SCHOLARSHIP TRUST INC,172737,0
202000699349300330,832407599,NY,A Better Life Foundation USA Inc,209545,0
202000699349300740,832667234,AL,NEW BEGINNINGS RECOVERY INC,483318,0
202010679349300301,453759477,NY,UNITED MILITARY VETERANS OF KINGS,84963,0
202020699349301072,825024802,CA,Zaytoons,83364,0
202020699349300617,900983595,TN,Feed The Needy,0,0
202030709349300313,474323905,NY,LOVE LIVING AT HOME INC,134540,0
202000709349301455,541211812,VA,MOUNT HERMON VOLUNTEER,256644,0
202000709349300200,260610335,TX,HOUSTON HISPANIC SCHOLARSHIP FUND,144,0
202000709349300520,454508561,NE,KIMMEL ORCHARD AND VINEYARD,1304951,0
202010699349301266,471057408,TX,GOSWAMI EDUCATION,316215,0
202010699349300541,582190407,MS,TIMOTHY WILKES EVANGELISTIC SERVICE,103243,0
202000719349301035,900528474,NJ,CAPE MAY VOLUNTEER FIRE DEP'T,115611,0
202010709349300601,522362291,MD,NEWARK VOLUNTEER FIRE COMPANY,648602,0
202010709349301231,830611711,GA,ALL IN FOR MILLER INC,47408,0
202010709349300931,620876593,TN,FAMILY RESOURCE AGENCY INC,7975397,0
202010709349301506,351985042,IN,CARE FOR KIDS FOUNDATION INC,16021,0
